giornata,anno,partita,risultato,partita_short
1,2019,Parma - Juventus,0 - 1,PAR - JUV
1,2019,Fiorentina - Napoli,3 - 4,FIO - NAP
1,2019,Udinese - Milan,1 - 0,UDI - MIL
1,2019,Cagliari - Brescia,0 - 1,CAG - BRE
1,2019,Verona - Bologna,1 - 1,VER - BOL
1,2019,Roma - Genoa,3 - 3,ROM - GEN
1,2019,Sampdoria - Lazio,0 - 3,SAM - LAZ
1,2019,Spal - Atalanta,2 - 3,SPA - ATA
1,2019,Torino - Sassuolo,2 - 1,TOR - SAS
1,2019,Inter - Lecce,4 - 0,INT - LEC
2,2019,Bologna - Spal,1 - 0,BOL - SPA
2,2019,Milan - Brescia,1 - 0,MIL - BRE
2,2019,Juventus - Napoli,4 - 3,JUV - NAP
2,2019,Lazio - Roma,1 - 1,LAZ - ROM
2,2019,Atalanta - Torino,2 - 3,ATA - TOR
2,2019,Cagliari - Inter,1 - 2,CAG - INT
2,2019,Genoa - Fiorentina,2 - 1,GEN - FIO
2,2019,Lecce - Verona,0 - 1,LEC - VER
2,2019,Sassuolo - Sampdoria,4 - 1,SAS - SAM
2,2019,Udinese - Parma,1 - 3,UDI - PAR
3,2019,Fiorentina - Juventus,0 - 0,FIO - JUV
3,2019,Napoli - Sampdoria,2 - 0,NAP - SAM
3,2019,Inter - Udinese,1 - 0,INT - UDI
3,2019,Genoa - Atalanta,1 - 2,GEN - ATA
3,2019,Brescia - Bologna,3 - 4,BRE - BOL
3,2019,Parma - Cagliari,1 - 3,PAR - CAG
3,2019,Spal - Lazio,2 - 1,SPA - LAZ
3,2019,Roma - Sassuolo,4 - 2,ROM - SAS
3,2019,Verona - Milan,0 - 1,VER - MIL
3,2019,Torino - Lecce,1 - 2,TOR - LEC
4,2019,Cagliari - Genoa,3 - 1,CAG - GEN
4,2019,Udinese - Brescia,0 - 1,UDI - BRE
4,2019,Juventus - Verona,2 - 1,JUV - VER
4,2019,Milan - Inter,0 - 2,MIL - INT
4,2019,Sassuolo - Spal,3 - 0,SAS - SPA
4,2019,Bologna - Roma,1 - 2,BOL - ROM
4,2019,Lecce - Napoli,1 - 4,LEC - NAP
4,2019,Sampdoria - Torino,1 - 0,SAM - TOR
4,2019,Atalanta - Fiorentina,2 - 2,ATA - FIO
4,2019,Lazio - Parma,2 - 0,LAZ - PAR
5,2019,Verona - Udinese,0 - 0,VER - UDI
5,2019,Brescia - Juventus,1 - 2,BRE - JUV
5,2019,Roma - Atalanta,0 - 2,ROM - ATA
5,2019,Fiorentina - Sampdoria,2 - 1,FIO - SAM
5,2019,Genoa - Bologna,0 - 0,GEN - BOL
5,2019,Inter - Lazio,1 - 0,INT - LAZ
5,2019,Napoli - Cagliari,0 - 1,NAP - CAG
5,2019,Parma - Sassuolo,1 - 0,PAR - SAS
5,2019,Spal - Lecce,1 - 3,SPA - LEC
5,2019,Torino - Milan,2 - 1,TOR - MIL
6,2019,Juventus - Spal,2 - 0,JUV - SPA
6,2019,Sampdoria - Inter,1 - 3,SAM - INT
6,2019,Sassuolo - Atalanta,1 - 4,SAS - ATA
6,2019,Napoli - Brescia,2 - 1,NAP - BRE
6,2019,Lazio - Genoa,4 - 0,LAZ - GEN
6,2019,Lecce - Roma,0 - 1,LEC - ROM
6,2019,Udinese - Bologna,1 - 0,UDI - BOL
6,2019,Cagliari - Verona,1 - 1,CAG - VER
6,2019,Milan - Fiorentina,1 - 3,MIL - FIO
6,2019,Parma - Torino,3 - 2,PAR - TOR
7,2019,Spal - Parma,1 - 0,SPA - PAR
7,2019,Verona - Sampdoria,2 - 0,VER - SAM
7,2019,Genoa - Milan,1 - 2,GEN - MIL
7,2019,Fiorentina - Udinese,1 - 0,FIO - UDI
7,2019,Atalanta - Lecce,3 - 1,ATA - LEC
7,2019,Bologna - Lazio,2 - 2,BOL - LAZ
7,2019,Roma - Cagliari,1 - 1,ROM - CAG
7,2019,Torino - Napoli,0 - 0,TOR - NAP
7,2019,Inter - Juventus,1 - 2,INT - JUV
7,2019,Brescia - Sassuolo,0 - 2,BRE - SAS
8,2019,Lazio - Atalanta,3 - 3,LAZ - ATA
8,2019,Napoli - Verona,2 - 0,NAP - VER
8,2019,Juventus - Bologna,2 - 1,JUV - BOL
8,2019,Sassuolo - Inter,3 - 4,SAS - INT
8,2019,Cagliari - Spal,2 - 0,CAG - SPA
8,2019,Sampdoria - Roma,0 - 0,SAM - ROM
8,2019,Udinese - Torino,1 - 0,UDI - TOR
8,2019,Parma - Genoa,5 - 1,PAR - GEN
8,2019,Milan - Lecce,2 - 2,MIL - LEC
8,2019,Brescia - Fiorentina,0 - 0,BRE - FIO
9,2019,Verona - Sassuolo,0 - 1,VER - SAS
9,2019,Lecce - Juventus,1 - 1,LEC - JUV
9,2019,Inter - Parma,2 - 2,INT - PAR
9,2019,Genoa - Brescia,3 - 1,GEN - BRE
9,2019,Bologna - Sampdoria,2 - 1,BOL - SAM
9,2019,Atalanta - Udinese,7 - 1,ATA - UDI
9,2019,Spal - Napoli,1 - 1,SPA - NAP
9,2019,Torino - Cagliari,1 - 1,TOR - CAG
9,2019,Roma - Milan,2 - 1,ROM - MIL
9,2019,Fiorentina - Lazio,1 - 2,FIO - LAZ
10,2019,Parma - Verona,0 - 1,PAR - VER
10,2019,Brescia - Inter,1 - 2,BRE - INT
10,2019,Napoli - Atalanta,2 - 2,NAP - ATA
10,2019,Cagliari - Bologna,3 - 2,CAG - BOL
10,2019,Juventus - Genoa,2 - 1,JUV - GEN
10,2019,Lazio - Torino,4 - 0,LAZ - TOR
10,2019,Sampdoria - Lecce,1 - 1,SAM - LEC
10,2019,Sassuolo - Fiorentina,1 - 2,SAS - FIO
10,2019,Udinese - Roma,0 - 4,UDI - ROM
10,2019,Milan - Spal,1 - 0,MIL - SPA
11,2019,Roma - Napoli,2 - 1,ROM - NAP
11,2019,Bologna - Inter,1 - 2,BOL - INT
11,2019,Torino - Juventus,0 - 1,TOR - JUV
11,2019,Atalanta - Cagliari,0 - 2,ATA - CAG
11,2019,Genoa - Udinese,1 - 3,GEN - UDI
11,2019,Verona - Brescia,2 - 1,VER - BRE
11,2019,Lecce - Sassuolo,2 - 2,LEC - SAS
11,2019,Fiorentina - Parma,1 - 1,FIO - PAR
11,2019,Milan - Lazio,1 - 2,MIL - LAZ
11,2019,Spal - Sampdoria,0 - 1,SPA - SAM
12,2019,Sassuolo - Bologna,3 - 1,SAS - BOL
12,2019,Brescia - Torino,0 - 4,BRE - TOR
12,2019,Inter - Verona,2 - 1,INT - VER
12,2019,Napoli - Genoa,0 - 0,NAP - GEN
12,2019,Cagliari - Fiorentina,5 - 2,CAG - FIO
12,2019,Lazio - Lecce,4 - 2,LAZ - LEC
12,2019,Sampdoria - Atalanta,0 - 0,SAM - ATA
12,2019,Udinese - Spal,0 - 0,UDI - SPA
12,2019,Parma - Roma,2 - 0,PAR - ROM
12,2019,Juventus - Milan,1 - 0,JUV - MIL
13,2019,Atalanta - Juventus,1 - 3,ATA - JUV
13,2019,Milan - Napoli,1 - 1,MIL - NAP
13,2019,Torino - Inter,0 - 3,TOR - INT
13,2019,Bologna - Parma,2 - 2,BOL - PAR
13,2019,Verona - Fiorentina,1 - 0,VER - FIO
13,2019,Roma - Brescia,3 - 0,ROM - BRE
13,2019,Sassuolo - Lazio,1 - 2,SAS - LAZ
13,2019,Sampdoria - Udinese,2 - 1,SAM - UDI
13,2019,Lecce - Cagliari,2 - 2,LEC - CAG
13,2019,Spal - Genoa,1 - 1,SPA - GEN
14,2019,Brescia - Atalanta,0 - 3,BRE - ATA
14,2019,Genoa - Torino,0 - 1,GEN - TOR
14,2019,Fiorentina - Lecce,0 - 1,FIO - LEC
14,2019,Juventus - Sassuolo,2 - 2,JUV - SAS
14,2019,Inter - Spal,2 - 1,INT - SPA
14,2019,Lazio - Udinese,3 - 0,LAZ - UDI
14,2019,Parma - Milan,0 - 1,PAR - MIL
14,2019,Napoli - Bologna,1 - 2,NAP - BOL
14,2019,Verona - Roma,1 - 3,VER - ROM
14,2019,Cagliari - Sampdoria,4 - 3,CAG - SAM
15,2019,Inter - Roma,0 - 0,INT - ROM
15,2019,Atalanta - Verona,3 - 2,ATA - VER
15,2019,Udinese - Napoli,1 - 1,UDI - NAP
15,2019,Lazio - Juventus,3 - 1,LAZ - JUV
15,2019,Lecce - Genoa,2 - 2,LEC - GEN
15,2019,Sassuolo - Cagliari,2 - 2,SAS - CAG
15,2019,Spal - Brescia,0 - 1,SPA - BRE
15,2019,Torino - Fiorentina,2 - 1,TOR - FIO
15,2019,Sampdoria - Parma,0 - 1,SAM - PAR
15,2019,Bologna - Milan,2 - 3,BOL - MIL
16,2019,Brescia - Lecce,3 - 0,BRE - LEC
16,2019,Napoli - Parma,1 - 2,NAP - PAR
16,2019,Genoa - Sampdoria,0 - 1,GEN - SAM
16,2019,Verona - Torino,3 - 3,VER - TOR
16,2019,Bologna - Atalanta,2 - 1,BOL - ATA
16,2019,Juventus - Udinese,3 - 1,JUV - UDI
16,2019,Milan - Sassuolo,0 - 0,MIL - SAS
16,2019,Roma - Spal,3 - 1,ROM - SPA
16,2019,Fiorentina - Inter,1 - 1,FIO - INT
16,2019,Cagliari - Lazio,1 - 2,CAG - LAZ
17,2019,Sampdoria - Juventus,1 - 2,SAM - JUV
17,2019,Fiorentina - Roma,1 - 4,FIO - ROM
17,2019,Udinese - Cagliari,2 - 1,UDI - CAG
17,2019,Inter - Genoa,4 - 0,INT - GEN
17,2019,Torino - Spal,1 - 2,TOR - SPA
17,2019,Atalanta - Milan,5 - 0,ATA - MIL
17,2019,Lecce - Bologna,2 - 3,LEC - BOL
17,2019,Parma - Brescia,1 - 1,PAR - BRE
17,2019,Sassuolo - Napoli,1 - 2,SAS - NAP
17,2019,Lazio - Verona,0 - 0,LAZ - VER
18,2019,Brescia - Lazio,1 - 2,BRE - LAZ
18,2019,Spal - Verona,0 - 2,SPA - VER
18,2019,Genoa - Sassuolo,2 - 1,GEN - SAS
18,2019,Roma - Torino,0 - 2,ROM - TOR
18,2019,Bologna - Fiorentina,1 - 1,BOL - FIO
18,2019,Atalanta - Parma,5 - 0,ATA - PAR
18,2019,Juventus - Cagliari,4 - 0,JUV - CAG
18,2019,Milan - Sampdoria,0 - 0,MIL - SAM
18,2019,Lecce - Udinese,0 - 1,LEC - UDI
18,2019,Napoli - Inter,1 - 3,NAP - INT
19,2019,Cagliari - Milan,0 - 2,CAG - MIL
19,2019,Lazio - Napoli,1 - 0,LAZ - NAP
19,2019,Inter - Atalanta,1 - 1,INT - ATA
19,2019,Udinese - Sassuolo,3 - 0,UDI - SAS
19,2019,Fiorentina - Spal,1 - 0,FIO - SPA
19,2019,Sampdoria - Brescia,5 - 1,SAM - BRE
19,2019,Torino - Bologna,1 - 0,TOR - BOL
19,2019,Verona - Genoa,2 - 1,VER - GEN
19,2019,Roma - Juventus,1 - 2,ROM - JUV
19,2019,Parma - Lecce,2 - 0,PAR - LEC
20,2019,Lazio - Sampdoria,5 - 1,LAZ - SAM
20,2019,Sassuolo - Torino,2 - 1,SAS - TOR
20,2019,Napoli - Fiorentina,0 - 2,NAP - FIO
20,2019,Milan - Udinese,3 - 2,MIL - UDI
20,2019,Brescia - Cagliari,2 - 2,BRE - CAG
20,2019,Bologna - Verona,1 - 1,BOL - VER
20,2019,Lecce - Inter,1 - 1,LEC - INT
20,2019,Genoa - Roma,1 - 3,GEN - ROM
20,2019,Juventus - Parma,2 - 1,JUV - PAR
20,2019,Atalanta - Spal,1 - 2,ATA - SPA
21,2019,Brescia - Milan,0 - 1,BRE - MIL
21,2019,Spal - Bologna,1 - 3,SPA - BOL
21,2019,Fiorentina - Genoa,0 - 0,FIO - GEN
21,2019,Torino - Atalanta,0 - 7,TOR - ATA
21,2019,Inter - Cagliari,1 - 1,INT - CAG
21,2019,Verona - Lecce,3 - 0,VER - LEC
21,2019,Sampdoria - Sassuolo,0 - 0,SAM - SAS
21,2019,Parma - Udinese,2 - 0,PAR - UDI
21,2019,Roma - Lazio,1 - 1,ROM - LAZ
21,2019,Napoli - Juventus,2 - 1,NAP - JUV
22,2019,Bologna - Brescia,2 - 1,BOL - BRE
22,2019,Cagliari - Parma,2 - 2,CAG - PAR
22,2019,Sassuolo - Roma,4 - 2,SAS - ROM
22,2019,Juventus - Fiorentina,3 - 0,JUV - FIO
22,2019,Atalanta - Genoa,2 - 2,ATA - GEN
22,2019,Milan - Verona,1 - 1,MIL - VER
22,2019,Lazio - Spal,5 - 1,LAZ - SPA
22,2019,Lecce - Torino,4 - 0,LEC - TOR
22,2019,Udinese - Inter,0 - 2,UDI - INT
22,2019,Sampdoria - Napoli,2 - 4,SAM - NAP
23,2019,Roma - Bologna,2 - 3,ROM - BOL
23,2019,Fiorentina - Atalanta,1 - 2,FIO - ATA
23,2019,Torino - Sampdoria,1 - 3,TOR - SAM
23,2019,Verona - Juventus,2 - 1,VER - JUV
23,2019,Spal - Sassuolo,1 - 2,SPA - SAS
23,2019,Genoa - Cagliari,1 - 0,GEN - CAG
23,2019,Napoli - Lecce,2 - 3,NAP - LEC
23,2019,Brescia - Udinese,1 - 1,BRE - UDI
23,2019,Parma - Lazio,0 - 1,PAR - LAZ
23,2019,Inter - Milan,4 - 2,INT - MIL
24,2019,Lecce - Spal,2 - 1,LEC - SPA
24,2019,Bologna - Genoa,0 - 3,BOL - GEN
24,2019,Atalanta - Roma,2 - 1,ATA - ROM
24,2019,Udinese - Verona,0 - 0,UDI - VER
24,2019,Juventus - Brescia,2 - 0,JUV - BRE
24,2019,Sampdoria - Fiorentina,1 - 5,SAM - FIO
24,2019,Sassuolo - Parma,0 - 1,SAS - PAR
24,2019,Cagliari - Napoli,0 - 1,CAG - NAP
24,2019,Lazio - Inter,2 - 1,LAZ - INT
24,2019,Milan - Torino,1 - 0,MIL - TOR
25,2019,Brescia - Napoli,1 - 2,BRE - NAP
25,2019,Bologna - Udinese,1 - 1,BOL - UDI
25,2019,Spal - Juventus,1 - 2,SPA - JUV
25,2019,Fiorentina - Milan,1 - 1,FIO - MIL
25,2019,Genoa - Lazio,2 - 3,GEN - LAZ
25,2019,Roma - Lecce,4 - 0,ROM - LEC
25,2019,Torino - Parma,1 - 1,TOR - PAR
25,2019,Verona - Cagliari,2 - 1,VER - CAG
25,2019,Atalanta - Sassuolo,4 - 1,ATA - SAS
25,2019,Inter - Sampdoria,2 - 1,INT - SAM
26,2019,Lazio - Bologna,2 - 0,LAZ - BOL
26,2019,Napoli - Torino,2 - 1,NAP - TOR
26,2019,Lecce - Atalanta,2 - 7,LEC - ATA
26,2019,Cagliari - Roma,3 - 4,CAG - ROM
26,2019,Parma - Spal,0 - 1,PAR - SPA
26,2019,Milan - Genoa,1 - 2,MIL - GEN
26,2019,Sampdoria - Verona,2 - 1,SAM - VER
26,2019,Udinese - Fiorentina,0 - 0,UDI - FIO
26,2019,Juventus - Inter,2 - 0,JUV - INT
26,2019,Sassuolo - Brescia,3 - 0,SAS - BRE
27,2019,Fiorentina - Brescia,1 - 1,FIO - BRE
27,2019,Lecce - Milan,1 - 4,LEC - MIL
27,2019,Bologna - Juventus,0 - 2,BOL - JUV
27,2019,Spal - Cagliari,0 - 1,SPA - CAG
27,2019,Verona - Napoli,0 - 2,VER - NAP
27,2019,Genoa - Parma,1 - 4,GEN - PAR
27,2019,Torino - Udinese,1 - 0,TOR - UDI
27,2019,Inter - Sassuolo,3 - 3,INT - SAS
27,2019,Atalanta - Lazio,3 - 2,ATA - LAZ
27,2019,Roma - Sampdoria,2 - 1,ROM - SAM
28,2019,Juventus - Lecce,4 - 0,JUV - LEC
28,2019,Brescia - Genoa,2 - 2,BRE - GEN
28,2019,Cagliari - Torino,4 - 2,CAG - TOR
28,2019,Lazio - Fiorentina,2 - 1,LAZ - FIO
28,2019,Milan - Roma,2 - 0,MIL - ROM
28,2019,Udinese - Atalanta,2 - 3,UDI - ATA
28,2019,Sampdoria - Bologna,1 - 2,SAM - BOL
28,2019,Sassuolo - Verona,3 - 3,SAS - VER
28,2019,Napoli - Spal,3 - 1,NAP - SPA
28,2019,Parma - Inter,1 - 2,PAR - INT
29,2019,Torino - Lazio,1 - 2,TOR - LAZ
29,2019,Genoa - Juventus,1 - 3,GEN - JUV
29,2019,Inter - Brescia,6 - 0,INT - BRE
29,2019,Bologna - Cagliari,1 - 1,BOL - CAG
29,2019,Spal - Milan,2 - 2,SPA - MIL
29,2019,Verona - Parma,3 - 2,VER - PAR
29,2019,Lecce - Sampdoria,1 - 2,LEC - SAM
29,2019,Fiorentina - Sassuolo,1 - 3,FIO - SAS
29,2019,Atalanta - Napoli,2 - 0,ATA - NAP
29,2019,Roma - Udinese,0 - 2,ROM - UDI
30,2019,Juventus - Torino,4 - 1,JUV - TOR
30,2019,Sassuolo - Lecce,4 - 2,SAS - LEC
30,2019,Lazio - Milan,0 - 3,LAZ - MIL
30,2019,Inter - Bologna,1 - 2,INT - BOL
30,2019,Cagliari - Atalanta,0 - 1,CAG - ATA
30,2019,Parma - Fiorentina,1 - 2,PAR - FIO
30,2019,Udinese - Genoa,2 - 2,UDI - GEN
30,2019,Brescia - Verona,2 - 0,BRE - VER
30,2019,Sampdoria - Spal,3 - 0,SAM - SPA
30,2019,Napoli - Roma,2 - 1,NAP - ROM
31,2019,Lecce - Lazio,2 - 1,LEC - LAZ
31,2019,Milan - Juventus,4 - 2,MIL - JUV
31,2019,Fiorentina - Cagliari,0 - 0,FIO - CAG
31,2019,Genoa - Napoli,1 - 2,GEN - NAP
31,2019,Torino - Brescia,3 - 1,TOR - BRE
31,2019,Roma - Parma,2 - 1,ROM - PAR
31,2019,Atalanta - Sampdoria,2 - 0,ATA - SAM
31,2019,Bologna - Sassuolo,1 - 2,BOL - SAS
31,2019,Spal - Udinese,0 - 3,SPA - UDI
31,2019,Verona - Inter,2 - 2,VER - INT
32,2019,Lazio - Sassuolo,1 - 2,LAZ - SAS
32,2019,Brescia - Roma,0 - 3,BRE - ROM
32,2019,Juventus - Atalanta,2 - 2,JUV - ATA
32,2019,Genoa - Spal,2 - 0,GEN - SPA
32,2019,Parma - Bologna,2 - 2,PAR - BOL
32,2019,Fiorentina - Verona,1 - 1,FIO - VER
32,2019,Cagliari - Lecce,0 - 0,CAG - LEC
32,2019,Udinese - Sampdoria,1 - 3,UDI - SAM
32,2019,Napoli - Milan,2 - 2,NAP - MIL
32,2019,Inter - Torino,3 - 1,INT - TOR
33,2019,Atalanta - Brescia,6 - 2,ATA - BRE
33,2019,Sampdoria - Cagliari,3 - 0,SAM - CAG
33,2019,Bologna - Napoli,1 - 1,BOL - NAP
33,2019,Milan - Parma,3 - 1,MIL - PAR
33,2019,Lecce - Fiorentina,1 - 3,LEC - FIO
33,2019,Roma - Verona,2 - 1,ROM - VER
33,2019,Sassuolo - Juventus,3 - 3,SAS - JUV
33,2019,Udinese - Lazio,0 - 0,UDI - LAZ
33,2019,Torino - Genoa,3 - 0,TOR - GEN
33,2019,Spal - Inter,0 - 4,SPA - INT
34,2019,Verona - Atalanta,1 - 1,VER - ATA
34,2019,Cagliari - Sassuolo,1 - 1,CAG - SAS
34,2019,Milan - Bologna,5 - 1,MIL - BOL
34,2019,Parma - Sampdoria,2 - 3,PAR - SAM
34,2019,Genoa - Lecce,2 - 1,GEN - LEC
34,2019,Brescia - Spal,2 - 1,BRE - SPA
34,2019,Fiorentina - Torino,2 - 0,FIO - TOR
34,2019,Napoli - Udinese,2 - 1,NAP - UDI
34,2019,Roma - Inter,2 - 2,ROM - INT
34,2019,Juventus - Lazio,2 - 1,JUV - LAZ
35,2019,Atalanta - Bologna,1 - 0,ATA - BOL
35,2019,Sassuolo - Milan,1 - 2,SAS - MIL
35,2019,Parma - Napoli,2 - 1,PAR - NAP
35,2019,Lecce - Brescia,3 - 1,LEC - BRE
35,2019,Inter - Fiorentina,0 - 0,INT - FIO
35,2019,Sampdoria - Genoa,1 - 2,SAM - GEN
35,2019,Torino - Verona,1 - 1,TOR - VER
35,2019,Spal - Roma,1 - 6,SPA - ROM
35,2019,Udinese - Juventus,2 - 1,UDI - JUV
35,2019,Lazio - Cagliari,2 - 1,LAZ - CAG
36,2019,Milan - Atalanta,1 - 1,MIL - ATA
36,2019,Brescia - Parma,1 - 2,BRE - PAR
36,2019,Genoa - Inter,0 - 3,GEN - INT
36,2019,Napoli - Sassuolo,2 - 0,NAP - SAS
36,2019,Bologna - Lecce,3 - 2,BOL - LEC
36,2019,Roma - Fiorentina,2 - 1,ROM - FIO
36,2019,Verona - Lazio,1 - 5,VER - LAZ
36,2019,Spal - Torino,1 - 1,SPA - TOR
36,2019,Cagliari - Udinese,0 - 1,CAG - UDI
36,2019,Juventus - Sampdoria,2 - 0,JUV - SAM
37,2019,Parma - Atalanta,1 - 2,PAR - ATA
37,2019,Inter - Napoli,2 - 0,INT - NAP
37,2019,Lazio - Brescia,2 - 0,LAZ - BRE
37,2019,Sassuolo - Genoa,5 - 0,SAS - GEN
37,2019,Udinese - Lecce,1 - 2,UDI - LEC
37,2019,Sampdoria - Milan,1 - 4,SAM - MIL
37,2019,Verona - Spal,3 - 0,VER - SPA
37,2019,Fiorentina - Bologna,4 - 0,FIO - BOL
37,2019,Cagliari - Juventus,2 - 0,CAG - JUV
37,2019,Torino - Roma,2 - 3,TOR - ROM
38,2019,Brescia - Sampdoria,1 - 1,BRE - SAM
38,2019,Milan - Cagliari,3 - 0,MIL - CAG
38,2019,Atalanta - Inter,0 - 2,ATA - INT
38,2019,Napoli - Lazio,3 - 1,NAP - LAZ
38,2019,Juventus - Roma,1 - 3,JUV - ROM
38,2019,Spal - Fiorentina,1 - 3,SPA - FIO
38,2019,Genoa - Verona,3 - 0,GEN - VER
38,2019,Lecce - Parma,3 - 4,LEC - PAR
38,2019,Bologna - Torino,1 - 1,BOL - TOR
38,2019,Sassuolo - Udinese,0 - 1,SAS - UDI
1,2020,Fiorentina - Torino,1 - 0,FIO - TOR
1,2020,Verona - Roma,3 - 0,VER - ROM
1,2020,Parma - Napoli,0 - 2,PAR - NAP
1,2020,Genoa - Crotone,4 - 1,GEN - CRO
1,2020,Sassuolo - Cagliari,1 - 1,SAS - CAG
1,2020,Juventus - Sampdoria,3 - 0,JUV - SAM
