giornata,anno,partita,risultato,partita_short
1,2023,Udinese - Juventus,0 - 3,UDI - JUV
1,2023,Torino - Cagliari,0 - 0,TOR - CAG
1,2023,Bologna - Milan,0 - 2,BOL - MIL
2,2023,Frosinone - Atalanta,2 - 1,FRO - ATA
2,2023,Monza - Empoli,2 - 0,MON - EMP
2,2023,Verona - Roma,2 - 1,VER - ROM
2,2023,Milan - Torino,4 - 1,MIL - TOR
2,2023,Fiorentina - Lecce,2 - 2,FIO - LEC
2,2023,Juventus - Bologna,1 - 1,JUV - BOL
2,2023,Lazio - Genoa,0 - 1,LAZ - GEN
2,2023,Napoli - Sassuolo,2 - 0,NAP - SAS
2,2023,Salernitana - Udinese,1 - 1,SAL - UDI
2,2023,Cagliari - Inter,0 - 2,CAG - INT
3,2023,Sassuolo - Verona,3 - 1,SAS - VER
3,2023,Roma - Milan,1 - 2,ROM - MIL
3,2023,Bologna - Cagliari,2 - 1,BOL - CAG
3,2023,Udinese - Frosinone,0 - 0,UDI - FRO
3,2023,Atalanta - Monza,3 - 0,ATA - MON
3,2023,Napoli - Lazio,1 - 2,NAP - LAZ
3,2023,Inter - Fiorentina,4 - 0,INT - FIO
3,2023,Torino - Genoa,1 - 0,TOR - GEN
3,2023,Empoli - Juventus,0 - 2,EMP - JUV
3,2023,Lecce - Salernitana,2 - 0,LEC - SAL
4,2023,Juventus - Lazio,3 - 1,JUV - LAZ
4,2023,Inter - Milan,5 - 1,INT - MIL
4,2023,Genoa - Napoli,2 - 2,GEN - NAP
4,2023,Cagliari - Udinese,0 - 0,CAG - UDI
4,2023,Frosinone - Sassuolo,4 - 2,FRO - SAS
4,2023,Monza - Lecce,1 - 1,MON - LEC
4,2023,Fiorentina - Atalanta,3 - 2,FIO - ATA
4,2023,Roma - Empoli,7 - 0,ROM - EMP
4,2023,Salernitana - Torino,0 - 3,SAL - TOR
4,2023,Verona - Bologna,0 - 0,VER - BOL
5,2023,Salernitana - Frosinone,1 - 1,SAL - FRO
5,2023,Lecce - Genoa,1 - 0,LEC - GEN
5,2023,Milan - Verona,1 - 0,MIL - VER
5,2023,Sassuolo - Juventus,4 - 2,SAS - JUV
5,2023,Lazio - Monza,1 - 1,LAZ - MON
5,2023,Empoli - Inter,0 - 1,EMP - INT
5,2023,Atalanta - Cagliari,2 - 0,ATA - CAG
5,2023,Udinese - Fiorentina,0 - 2,UDI - FIO
5,2023,Bologna - Napoli,0 - 0,BOL - NAP
5,2023,Torino - Roma,1 - 1,TOR - ROM
6,2023,Juventus - Lecce,1 - 0,JUV - LEC
6,2023,Cagliari - Milan,1 - 3,CAG - MIL
6,2023,Empoli - Salernitana,1 - 0,EMP - SAL
6,2023,Verona - Atalanta,0 - 1,VER - ATA
6,2023,Inter - Sassuolo,1 - 2,INT - SAS
6,2023,Lazio - Torino,2 - 0,LAZ - TOR
6,2023,Napoli - Udinese,4 - 1,NAP - UDI
6,2023,Frosinone - Fiorentina,1 - 1,FRO - FIO
6,2023,Monza - Bologna,0 - 0,MON - BOL
6,2023,Genoa - Roma,4 - 1,GEN - ROM
7,2023,Lecce - Napoli,0 - 4,LEC - NAP
7,2023,Milan - Lazio,2 - 0,MIL - LAZ
7,2023,Salernitana - Inter,0 - 4,SAL - INT
7,2023,Bologna - Empoli,3 - 0,BOL - EMP
7,2023,Udinese - Genoa,2 - 2,UDI - GEN
7,2023,Atalanta - Juventus,0 - 0,ATA - JUV
7,2023,Roma - Frosinone,2 - 0,ROM - FRO
7,2023,Sassuolo - Monza,0 - 1,SAS - MON
7,2023,Torino - Verona,0 - 0,TOR - VER
7,2023,Fiorentina - Cagliari,3 - 0,FIO - CAG
8,2023,Empoli - Udinese,0 - 0,EMP - UDI
8,2023,Lecce - Sassuolo,1 - 1,LEC - SAS
8,2023,Inter - Bologna,2 - 2,INT - BOL
8,2023,Juventus - Torino,2 - 0,JUV - TOR
8,2023,Genoa - Milan,0 - 1,GEN - MIL
8,2023,Monza - Salernitana,3 - 0,MON - SAL
8,2023,Frosinone - Verona,2 - 1,FRO - VER
8,2023,Lazio - Atalanta,3 - 2,LAZ - ATA
8,2023,Cagliari - Roma,1 - 4,CAG - ROM
8,2023,Napoli - Fiorentina,1 - 3,NAP - FIO
9,2023,Verona - Napoli,1 - 3,VER - NAP
9,2023,Torino - Inter,0 - 3,TOR - INT
9,2023,Sassuolo - Lazio,0 - 2,SAS - LAZ
9,2023,Roma - Monza,1 - 0,ROM - MON
9,2023,Bologna - Frosinone,2 - 1,BOL - FRO
9,2023,Salernitana - Cagliari,2 - 2,SAL - CAG
9,2023,Atalanta - Genoa,2 - 0,ATA - GEN
9,2023,Milan - Juventus,0 - 1,MIL - JUV
9,2023,Udinese - Lecce,1 - 1,UDI - LEC
9,2023,Fiorentina - Empoli,0 - 2,FIO - EMP
10,2023,Genoa - Salernitana,1 - 0,GEN - SAL
10,2023,Sassuolo - Bologna,1 - 1,SAS - BOL
10,2023,Lecce - Torino,0 - 1,LEC - TOR
10,2023,Juventus - Verona,1 - 0,JUV - VER
10,2023,Cagliari - Frosinone,4 - 3,CAG - FRO
10,2023,Monza - Udinese,1 - 1,MON - UDI
10,2023,Inter - Roma,1 - 0,INT - ROM
10,2023,Napoli - Milan,2 - 2,NAP - MIL
10,2023,Empoli - Atalanta,0 - 3,EMP - ATA
10,2023,Lazio - Fiorentina,1 - 0,LAZ - FIO
11,2023,Bologna - Lazio,1 - 0,BOL - LAZ
11,2023,Salernitana - Napoli,0 - 2,SAL - NAP
11,2023,Atalanta - Inter,1 - 2,ATA - INT
11,2023,Milan - Udinese,0 - 1,MIL - UDI
11,2023,Verona - Monza,1 - 3,VER - MON
11,2023,Cagliari - Genoa,2 - 1,CAG - GEN
11,2023,Roma - Lecce,2 - 1,ROM - LEC
11,2023,Fiorentina - Juventus,0 - 1,FIO - JUV
11,2023,Frosinone - Empoli,2 - 1,FRO - EMP
11,2023,Torino - Sassuolo,2 - 1,TOR - SAS
12,2023,Sassuolo - Salernitana,2 - 2,SAS - SAL
12,2023,Genoa - Verona,1 - 0,GEN - VER
12,2023,Lecce - Milan,2 - 2,LEC - MIL
12,2023,Juventus - Cagliari,2 - 1,JUV - CAG
12,2023,Monza - Torino,1 - 1,MON - TOR
12,2023,Napoli - Empoli,0 - 1,NAP - EMP
12,2023,Fiorentina - Bologna,2 - 1,FIO - BOL
12,2023,Udinese - Atalanta,1 - 1,UDI - ATA
12,2023,Lazio - Roma,0 - 0,LAZ - ROM
12,2023,Inter - Frosinone,2 - 0,INT - FRO
13,2023,Salernitana - Lazio,2 - 1,SAL - LAZ
13,2023,Atalanta - Napoli,1 - 2,ATA - NAP
13,2023,Milan - Fiorentina,1 - 0,MIL - FIO
13,2023,Cagliari - Monza,1 - 1,CAG - MON
13,2023,Empoli - Sassuolo,3 - 4,EMP - SAS
13,2023,Frosinone - Genoa,2 - 1,FRO - GEN
13,2023,Roma - Udinese,3 - 1,ROM - UDI
13,2023,Juventus - Inter,1 - 1,JUV - INT
13,2023,Verona - Lecce,2 - 2,VER - LEC
13,2023,Bologna - Torino,2 - 0,BOL - TOR
14,2023,Monza - Juventus,1 - 2,MON - JUV
14,2023,Genoa - Empoli,1 - 1,GEN - EMP
14,2023,Lazio - Cagliari,1 - 0,LAZ - CAG
14,2023,Milan - Frosinone,3 - 1,MIL - FRO
14,2023,Lecce - Bologna,1 - 1,LEC - BOL
14,2023,Fiorentina - Salernitana,3 - 0,FIO - SAL
14,2023,Udinese - Verona,3 - 3,UDI - VER
14,2023,Sassuolo - Roma,1 - 2,SAS - ROM
14,2023,Napoli - Inter,0 - 3,NAP - INT
14,2023,Torino - Atalanta,3 - 0,TOR - ATA
15,2023,Juventus - Napoli,1 - 0,JUV - NAP
15,2023,Verona - Lazio,1 - 1,VER - LAZ
15,2023,Atalanta - Milan,3 - 2,ATA - MIL
15,2023,Inter - Udinese,4 - 0,INT - UDI
15,2023,Frosinone - Torino,0 - 0,FRO - TOR
15,2023,Monza - Genoa,1 - 0,MON - GEN
15,2023,Salernitana - Bologna,1 - 2,SAL - BOL
15,2023,Roma - Fiorentina,1 - 1,ROM - FIO
15,2023,Empoli - Lecce,1 - 1,EMP - LEC
15,2023,Cagliari - Sassuolo,2 - 1,CAG - SAS
16,2023,Genoa - Juventus,1 - 1,GEN - JUV
16,2023,Lecce - Frosinone,2 - 1,LEC - FRO
16,2023,Napoli - Cagliari,2 - 1,NAP - CAG
16,2023,Torino - Empoli,1 - 0,TOR - EMP
16,2023,Milan - Monza,3 - 0,MIL - MON
16,2023,Fiorentina - Verona,1 - 0,FIO - VER
16,2023,Udinese - Sassuolo,2 - 2,UDI - SAS
16,2023,Bologna - Roma,2 - 0,BOL - ROM
16,2023,Lazio - Inter,0 - 2,LAZ - INT
16,2023,Atalanta - Salernitana,4 - 1,ATA - SAL
17,2023,Empoli - Lazio,0 - 2,EMP - LAZ
17,2023,Sassuolo - Genoa,1 - 2,SAS - GEN
17,2023,Monza - Fiorentina,0 - 1,MON - FIO
17,2023,Salernitana - Milan,2 - 2,SAL - MIL
17,2023,Frosinone - Juventus,1 - 2,FRO - JUV
17,2023,Bologna - Atalanta,1 - 0,BOL - ATA
17,2023,Torino - Udinese,1 - 1,TOR - UDI
17,2023,Verona - Cagliari,2 - 0,VER - CAG
17,2023,Inter - Lecce,2 - 0,INT - LEC
17,2023,Roma - Napoli,2 - 0,ROM - NAP
18,2023,Fiorentina - Torino,1 - 0,FIO - TOR
18,2023,Napoli - Monza,0 - 0,NAP - MON
18,2023,Genoa - Inter,1 - 1,GEN - INT
18,2023,Lazio - Frosinone,3 - 1,LAZ - FRO
18,2023,Atalanta - Lecce,1 - 0,ATA - LEC
18,2023,Cagliari - Empoli,0 - 0,CAG - EMP
18,2023,Udinese - Bologna,3 - 0,UDI - BOL
18,2023,Verona - Salernitana,0 - 1,VER - SAL
18,2023,Milan - Sassuolo,1 - 0,MIL - SAS
18,2023,Juventus - Roma,1 - 0,JUV - ROM
19,2023,Bologna - Genoa,1 - 1,BOL - GEN
19,2023,Inter - Verona,2 - 1,INT - VER
19,2023,Frosinone - Monza,2 - 3,FRO - MON
19,2023,Lecce - Cagliari,1 - 1,LEC - CAG
19,2023,Sassuolo - Fiorentina,1 - 0,SAS - FIO
19,2023,Empoli - Milan,0 - 3,EMP - MIL
19,2023,Torino - Napoli,3 - 0,TOR - NAP
19,2023,Udinese - Lazio,1 - 2,UDI - LAZ
19,2023,Salernitana - Juventus,1 - 2,SAL - JUV
19,2023,Roma - Atalanta,1 - 1,ROM - ATA
20,2023,Genoa - Torino,0 - 0,GEN - TOR
20,2023,Napoli - Salernitana,2 - 1,NAP - SAL
20,2023,Verona - Empoli,2 - 1,VER - EMP
20,2023,Monza - Inter,1 - 5,MON - INT
20,2023,Lazio - Lecce,1 - 0,LAZ - LEC
20,2023,Cagliari - Bologna,2 - 1,CAG - BOL
20,2023,Fiorentina - Udinese,2 - 2,FIO - UDI
20,2023,Milan - Roma,3 - 1,MIL - ROM
20,2023,Atalanta - Frosinone,5 - 0,ATA - FRO
20,2023,Juventus - Sassuolo,3 - 0,JUV - SAS
21,2023,Roma - Verona,2 - 1,ROM - VER
21,2023,Udinese - Milan,2 - 3,UDI - MIL
21,2023,Frosinone - Cagliari,3 - 1,FRO - CAG
21,2023,Empoli - Monza,3 - 0,EMP - MON
21,2023,Salernitana - Genoa,1 - 2,SAL - GEN
21,2023,Lecce - Juventus,0 - 3,LEC - JUV
21,2023,Bologna - Fiorentina,2 - 0,BOL - FIO
21,2023,Torino - Lazio,0 - 2,TOR - LAZ
21,2023,Sassuolo - Napoli,1 - 6,SAS - NAP
21,2023,Inter - Atalanta,4 - 0,INT - ATA
22,2023,Cagliari - Torino,1 - 2,CAG - TOR
22,2023,Atalanta - Udinese,2 - 0,ATA - UDI
22,2023,Juventus - Empoli,1 - 1,JUV - EMP
22,2023,Milan - Bologna,2 - 2,MIL - BOL
22,2023,Genoa - Lecce,2 - 1,GEN - LEC
22,2023,Verona - Frosinone,1 - 1,VER - FRO
22,2023,Monza - Sassuolo,1 - 0,MON - SAS
22,2023,Lazio - Napoli,0 - 0,LAZ - NAP
22,2023,Fiorentina - Inter,0 - 1,FIO - INT
22,2023,Salernitana - Roma,1 - 2,SAL - ROM
23,2023,Lecce - Fiorentina,3 - 2,LEC - FIO
23,2023,Empoli - Genoa,0 - 0,EMP - GEN
23,2023,Udinese - Monza,0 - 0,UDI - MON
23,2023,Frosinone - Milan,2 - 3,FRO - MIL
23,2023,Bologna - Sassuolo,4 - 2,BOL - SAS
23,2023,Torino - Salernitana,0 - 0,TOR - SAL
23,2023,Napoli - Verona,2 - 1,NAP - VER
23,2023,Atalanta - Lazio,3 - 1,ATA - LAZ
23,2023,Inter - Juventus,1 - 0,INT - JUV
23,2023,Roma - Cagliari,4 - 0,ROM - CAG
24,2023,Salernitana - Empoli,1 - 3,SAL - EMP
24,2023,Cagliari - Lazio,1 - 3,CAG - LAZ
24,2023,Roma - Inter,2 - 4,ROM - INT
24,2023,Sassuolo - Torino,1 - 1,SAS - TOR
24,2023,Fiorentina - Frosinone,5 - 1,FIO - FRO
24,2023,Bologna - Lecce,4 - 0,BOL - LEC
24,2023,Monza - Verona,0 - 0,MON - VER
24,2023,Genoa - Atalanta,1 - 4,GEN - ATA
24,2023,Milan - Napoli,1 - 0,MIL - NAP
24,2023,Juventus - Udinese,0 - 1,JUV - UDI
25,2023,Torino - Lecce,2 - 0,TOR - LEC
25,2023,Inter - Salernitana,4 - 0,INT - SAL
25,2023,Napoli - Genoa,1 - 1,NAP - GEN
25,2023,Verona - Juventus,2 - 2,VER - JUV
25,2023,Atalanta - Sassuolo,3 - 0,ATA - SAS
25,2023,Lazio - Bologna,1 - 2,LAZ - BOL
25,2023,Empoli - Fiorentina,1 - 1,EMP - FIO
25,2023,Udinese - Cagliari,1 - 1,UDI - CAG
25,2023,Frosinone - Roma,0 - 3,FRO - ROM
25,2023,Monza - Milan,4 - 2,MON - MIL
26,2023,Bologna - Verona,2 - 0,BOL - VER
26,2023,Sassuolo - Empoli,2 - 3,SAS - EMP
26,2023,Salernitana - Monza,0 - 2,SAL - MON
26,2023,Genoa - Udinese,2 - 0,GEN - UDI
26,2023,Juventus - Frosinone,3 - 2,JUV - FRO
26,2023,Cagliari - Napoli,1 - 1,CAG - NAP
26,2023,Lecce - Inter,0 - 4,LEC - INT
26,2023,Milan - Atalanta,1 - 1,MIL - ATA
26,2023,Roma - Torino,3 - 2,ROM - TOR
26,2023,Fiorentina - Lazio,2 - 1,FIO - LAZ
27,2023,Lazio - Milan,0 - 1,LAZ - MIL
27,2023,Udinese - Salernitana,1 - 1,UDI - SAL
27,2023,Monza - Roma,1 - 4,MON - ROM
27,2023,Torino - Fiorentina,0 - 0,TOR - FIO
27,2023,Verona - Sassuolo,1 - 0,VER - SAS
27,2023,Empoli - Cagliari,0 - 1,EMP - CAG
27,2023,Frosinone - Lecce,1 - 1,FRO - LEC
27,2023,Atalanta - Bologna,1 - 2,ATA - BOL
27,2023,Napoli - Juventus,2 - 1,NAP - JUV
27,2023,Inter - Genoa,2 - 1,INT - GEN
28,2023,Napoli - Torino,1 - 1,NAP - TOR
28,2023,Cagliari - Salernitana,4 - 2,CAG - SAL
28,2023,Sassuolo - Frosinone,1 - 0,SAS - FRO
28,2023,Bologna - Inter,0 - 1,BOL - INT
28,2023,Genoa - Monza,2 - 3,GEN - MON
28,2023,Lecce - Verona,0 - 1,LEC - VER
28,2023,Milan - Empoli,1 - 0,MIL - EMP
28,2023,Juventus - Atalanta,2 - 2,JUV - ATA
28,2023,Fiorentina - Roma,2 - 2,FIO - ROM
28,2023,Lazio - Udinese,1 - 2,LAZ - UDI
29,2023,Empoli - Bologna,0 - 1,EMP - BOL
29,2023,Monza - Cagliari,1 - 0,MON - CAG
29,2023,Udinese - Torino,0 - 2,UDI - TOR
29,2023,Salernitana - Lecce,0 - 1,SAL - LEC
29,2023,Frosinone - Lazio,2 - 3,FRO - LAZ
29,2023,Juventus - Genoa,0 - 0,JUV - GEN
29,2023,Verona - Milan,1 - 3,VER - MIL
29,2023,Roma - Sassuolo,1 - 0,ROM - SAS
29,2023,Inter - Napoli,1 - 1,INT - NAP
29,2023,Atalanta - Fiorentina,2 - 3,ATA - FIO
30,2023,Napoli - Atalanta,0 - 3,NAP - ATA
30,2023,Genoa - Frosinone,1 - 1,GEN - FRO
30,2023,Torino - Monza,1 - 0,TOR - MON
30,2023,Lazio - Juventus,1 - 0,LAZ - JUV
30,2023,Fiorentina - Milan,1 - 2,FIO - MIL
30,2023,Bologna - Salernitana,3 - 0,BOL - SAL
30,2023,Cagliari - Verona,1 - 1,CAG - VER
30,2023,Sassuolo - Udinese,1 - 1,SAS - UDI
30,2023,Lecce - Roma,0 - 0,LEC - ROM
30,2023,Inter - Empoli,2 - 0,INT - EMP
31,2023,Salernitana - Sassuolo,2 - 2,SAL - SAS
31,2023,Milan - Lecce,3 - 0,MIL - LEC
31,2023,Roma - Lazio,1 - 0,ROM - LAZ
31,2023,Empoli - Torino,3 - 2,EMP - TOR
31,2023,Frosinone - Bologna,0 - 0,FRO - BOL
31,2023,Monza - Napoli,2 - 4,MON - NAP
31,2023,Cagliari - Atalanta,2 - 1,CAG - ATA
31,2023,Verona - Genoa,1 - 2,VER - GEN
31,2023,Juventus - Fiorentina,1 - 0,JUV - FIO
31,2023,Udinese - Inter,1 - 2,UDI - INT
32,2023,Lazio - Salernitana,4 - 1,LAZ - SAL
32,2023,Lecce - Empoli,1 - 0,LEC - EMP
32,2023,Torino - Juventus,0 - 0,TOR - JUV
32,2023,Bologna - Monza,0 - 0,BOL - MON
32,2023,Napoli - Frosinone,2 - 2,NAP - FRO
32,2023,Sassuolo - Milan,3 - 3,SAS - MIL
32,2023,Inter - Cagliari,2 - 2,INT - CAG
32,2023,Fiorentina - Genoa,1 - 1,FIO - GEN
32,2023,Atalanta - Verona,2 - 2,ATA - VER
32,2023,Udinese - Roma,1 - 2,UDI - ROM
33,2023,Genoa - Lazio,0 - 1,GEN - LAZ
33,2023,Cagliari - Juventus,2 - 2,CAG - JUV
33,2023,Empoli - Napoli,1 - 0,EMP - NAP
33,2023,Verona - Udinese,1 - 0,VER - UDI
33,2023,Sassuolo - Lecce,0 - 3,SAS - LEC
33,2023,Torino - Frosinone,0 - 0,TOR - FRO
33,2023,Salernitana - Fiorentina,0 - 2,SAL - FIO
33,2023,Monza - Atalanta,1 - 2,MON - ATA
33,2023,Roma - Bologna,1 - 3,ROM - BOL
33,2023,Milan - Inter,1 - 2,MIL - INT
34,2023,Frosinone - Salernitana,3 - 0,FRO - SAL
34,2023,Lecce - Monza,1 - 1,LEC - MON
34,2023,Juventus - Milan,0 - 0,JUV - MIL
34,2023,Lazio - Verona,1 - 0,LAZ - VER
34,2023,Inter - Torino,2 - 0,INT - TOR
34,2023,Bologna - Udinese,1 - 1,BOL - UDI
34,2023,Atalanta - Empoli,2 - 0,ATA - EMP
34,2023,Napoli - Roma,2 - 2,NAP - ROM
34,2023,Fiorentina - Sassuolo,5 - 1,FIO - SAS
34,2023,Genoa - Cagliari,3 - 0,GEN - CAG
35,2023,Torino - Bologna,0 - 0,TOR - BOL
35,2023,Monza - Lazio,2 - 2,MON - LAZ
35,2023,Sassuolo - Inter,1 - 0,SAS - INT
35,2023,Cagliari - Lecce,1 - 1,CAG - LEC
35,2023,Empoli - Frosinone,0 - 0,EMP - FRO
35,2023,Verona - Fiorentina,2 - 1,VER - FIO
35,2023,Milan - Genoa,3 - 3,MIL - GEN
35,2023,Roma - Juventus,1 - 1,ROM - JUV
35,2023,Salernitana - Atalanta,1 - 2,SAL - ATA
35,2023,Udinese - Napoli,1 - 1,UDI - NAP
36,2023,Frosinone - Inter,0 - 5,FRO - INT
36,2023,Napoli - Bologna,0 - 2,NAP - BOL
36,2023,Milan - Cagliari,5 - 1,MIL - CAG
36,2023,Lazio - Empoli,2 - 0,LAZ - EMP
36,2023,Genoa - Sassuolo,2 - 1,GEN - SAS
36,2023,Verona - Torino,1 - 2,VER - TOR
36,2023,Juventus - Salernitana,1 - 1,JUV - SAL
36,2023,Atalanta - Roma,2 - 1,ATA - ROM
36,2023,Lecce - Udinese,0 - 2,LEC - UDI
36,2023,Fiorentina - Monza,2 - 1,FIO - MON
37,2023,Fiorentina - Napoli,2 - 2,FIO - NAP
37,2023,Lecce - Atalanta,0 - 2,LEC - ATA
37,2023,Torino - Milan,3 - 1,TOR - MIL
37,2023,Sassuolo - Cagliari,0 - 2,SAS - CAG
37,2023,Monza - Frosinone,0 - 1,MON - FRO
37,2023,Udinese - Empoli,1 - 1,UDI - EMP
37,2023,Inter - Lazio,1 - 1,INT - LAZ
37,2023,Roma - Genoa,1 - 0,ROM - GEN
37,2023,Salernitana - Verona,1 - 2,SAL - VER
37,2023,Bologna - Juventus,3 - 3,BOL - JUV
38,2023,Cagliari - Fiorentina,2 - 3,CAG - FIO
38,2023,Genoa - Bologna,2 - 0,GEN - BOL
38,2023,Juventus - Monza,2 - 0,JUV - MON
38,2023,Milan - Salernitana,3 - 3,MIL - SAL
38,2023,Atalanta - Torino,3 - 0,ATA - TOR
38,2023,Napoli - Lecce,0 - 0,NAP - LEC
38,2023,Empoli - Roma,2 - 1,EMP - ROM
38,2023,Frosinone - Udinese,0 - 1,FRO - UDI
38,2023,Verona - Inter,2 - 2,VER - INT
38,2023,Lazio - Sassuolo,1 - 1,LAZ - SAS
1,2024,Genoa - Inter,2 - 2,GEN - INT
1,2024,Parma - Fiorentina,1 - 1,PAR - FIO
1,2024,Empoli - Monza,0 - 0,EMP - MON
1,2024,Milan - Torino,2 - 2,MIL - TOR
1,2024,Bologna - Udinese,1 - 1,BOL - UDI
1,2024,Verona - Napoli,3 - 0,VER - NAP
1,2024,Cagliari - Roma,0 - 0,CAG - ROM
1,2024,Lazio - Venezia,3 - 1,LAZ - VEN
1,2024,Lecce - Atalanta,0 - 4,LEC - ATA
1,2024,Juventus - Como,3 - 0,JUV - COM
